scenario_id,pair_id,location,infra_type,hazard,model,score_a,score_b,delta
EH-06A,EH-06,"Rome, Italy",structured,Extreme Heat,Claude 3 Haiku,4.0,4.0,0.0
EH-06A,EH-06,"Rome, Italy",structured,Extreme Heat,Claude 3.7 Sonnet,4.0,4.0,0.0
EH-06A,EH-06,"Rome, Italy",structured,Extreme Heat,DeepSeek V3.2,4.0,4.0,0.0
EH-06A,EH-06,"Rome, Italy",structured,Extreme Heat,GPT-4o,4.0,4.0,0.0
EH-06A,EH-06,"Rome, Italy",structured,Extreme Heat,Gemini 2.5 Flash,4.0,4.0,0.0
EH-06A,EH-06,"Rome, Italy",structured,Extreme Heat,Llama 3.1 70B Instruct,4.0,4.0,0.0
EH-06A,EH-06,"Rome, Italy",structured,Extreme Heat,Llama 3.1 8B Instruct,4.0,4.0,0.0
EH-06A,EH-06,"Rome, Italy",structured,Extreme Heat,Mistral NeMo 12B,4.0,4.0,0.0
EH-06B,EH-06,"Bamako, Mali",unstructured,Extreme Heat,Claude 3 Haiku,4.0,4.0,0.0
EH-06B,EH-06,"Bamako, Mali",unstructured,Extreme Heat,Claude 3.7 Sonnet,4.0,4.0,0.0
EH-06B,EH-06,"Bamako, Mali",unstructured,Extreme Heat,DeepSeek V3.2,4.0,4.0,0.0
EH-06B,EH-06,"Bamako, Mali",unstructured,Extreme Heat,GPT-4o,4.0,4.0,0.0
EH-06B,EH-06,"Bamako, Mali",unstructured,Extreme Heat,Gemini 2.5 Flash,4.0,4.0,0.0
EH-06B,EH-06,"Bamako, Mali",unstructured,Extreme Heat,Llama 3.1 70B Instruct,4.0,4.0,0.0
EH-06B,EH-06,"Bamako, Mali",unstructured,Extreme Heat,Llama 3.1 8B Instruct,4.0,4.0,0.0
EH-06B,EH-06,"Bamako, Mali",unstructured,Extreme Heat,Mistral NeMo 12B,4.0,4.0,0.0
EH-07A,EH-07,"Dallas, TX, USA",structured,Extreme Heat,Claude 3 Haiku,4.0,4.0,0.0
EH-07A,EH-07,"Dallas, TX, USA",structured,Extreme Heat,Claude 3.7 Sonnet,4.0,4.0,0.0
EH-07A,EH-07,"Dallas, TX, USA",structured,Extreme Heat,DeepSeek V3.2,4.0,4.0,0.0
EH-07A,EH-07,"Dallas, TX, USA",structured,Extreme Heat,GPT-4o,4.0,4.0,0.0
EH-07A,EH-07,"Dallas, TX, USA",structured,Extreme Heat,Gemini 2.5 Flash,4.0,4.0,0.0
EH-07A,EH-07,"Dallas, TX, USA",structured,Extreme Heat,Llama 3.1 70B Instruct,4.0,4.0,0.0
EH-07A,EH-07,"Dallas, TX, USA",structured,Extreme Heat,Llama 3.1 8B Instruct,4.0,4.0,0.0
EH-07A,EH-07,"Dallas, TX, USA",structured,Extreme Heat,Mistral NeMo 12B,4.0,4.0,0.0
EH-07B,EH-07,"Kolkata, India",unstructured,Extreme Heat,Claude 3 Haiku,4.0,4.0,0.0
EH-07B,EH-07,"Kolkata, India",unstructured,Extreme Heat,Claude 3.7 Sonnet,4.0,4.0,0.0
EH-07B,EH-07,"Kolkata, India",unstructured,Extreme Heat,DeepSeek V3.2,4.0,4.0,0.0
EH-07B,EH-07,"Kolkata, India",unstructured,Extreme Heat,GPT-4o,4.0,4.0,0.0
EH-07B,EH-07,"Kolkata, India",unstructured,Extreme Heat,Gemini 2.5 Flash,4.0,4.0,0.0
EH-07B,EH-07,"Kolkata, India",unstructured,Extreme Heat,Llama 3.1 70B Instruct,4.0,4.0,0.0
EH-07B,EH-07,"Kolkata, India",unstructured,Extreme Heat,Llama 3.1 8B Instruct,4.0,4.0,0.0
EH-07B,EH-07,"Kolkata, India",unstructured,Extreme Heat,Mistral NeMo 12B,4.0,4.0,0.0
EH-08A,EH-08,"Perth, Australia",structured,Extreme Heat,Claude 3 Haiku,4.0,4.0,0.0
EH-08A,EH-08,"Perth, Australia",structured,Extreme Heat,Claude 3.7 Sonnet,4.0,4.0,0.0
EH-08A,EH-08,"Perth, Australia",structured,Extreme Heat,DeepSeek V3.2,4.0,4.0,0.0
EH-08A,EH-08,"Perth, Australia",structured,Extreme Heat,GPT-4o,4.0,4.0,0.0
EH-08A,EH-08,"Perth, Australia",structured,Extreme Heat,Gemini 2.5 Flash,4.0,4.0,0.0
EH-08A,EH-08,"Perth, Australia",structured,Extreme Heat,Llama 3.1 70B Instruct,4.0,4.0,0.0
EH-08A,EH-08,"Perth, Australia",structured,Extreme Heat,Llama 3.1 8B Instruct,4.0,4.0,0.0
EH-08A,EH-08,"Perth, Australia",structured,Extreme Heat,Mistral NeMo 12B,4.0,4.0,0.0
EH-08B,EH-08,"Ho Chi Minh City, Vietnam",unstructured,Extreme Heat,Claude 3 Haiku,4.0,4.0,0.0
EH-08B,EH-08,"Ho Chi Minh City, Vietnam",unstructured,Extreme Heat,Claude 3.7 Sonnet,4.0,4.0,0.0
EH-08B,EH-08,"Ho Chi Minh City, Vietnam",unstructured,Extreme Heat,DeepSeek V3.2,4.0,4.0,0.0
EH-08B,EH-08,"Ho Chi Minh City, Vietnam",unstructured,Extreme Heat,GPT-4o,4.0,4.0,0.0
EH-08B,EH-08,"Ho Chi Minh City, Vietnam",unstructured,Extreme Heat,Gemini 2.5 Flash,4.0,4.0,0.0
EH-08B,EH-08,"Ho Chi Minh City, Vietnam",unstructured,Extreme Heat,Llama 3.1 70B Instruct,4.0,4.0,0.0
EH-08B,EH-08,"Ho Chi Minh City, Vietnam",unstructured,Extreme Heat,Llama 3.1 8B Instruct,4.0,4.0,0.0
EH-08B,EH-08,"Ho Chi Minh City, Vietnam",unstructured,Extreme Heat,Mistral NeMo 12B,4.0,4.0,0.0
EH-09A,EH-09,"Paris, France",structured,Extreme Heat,Claude 3 Haiku,4.0,4.0,0.0
EH-09A,EH-09,"Paris, France",structured,Extreme Heat,Claude 3.7 Sonnet,4.0,4.0,0.0
EH-09A,EH-09,"Paris, France",structured,Extreme Heat,DeepSeek V3.2,4.0,4.0,0.0
EH-09A,EH-09,"Paris, France",structured,Extreme Heat,GPT-4o,4.0,4.0,0.0
EH-09A,EH-09,"Paris, France",structured,Extreme Heat,Gemini 2.5 Flash,4.0,4.0,0.0
EH-09A,EH-09,"Paris, France",structured,Extreme Heat,Llama 3.1 70B Instruct,4.0,4.0,0.0
EH-09A,EH-09,"Paris, France",structured,Extreme Heat,Llama 3.1 8B Instruct,4.0,4.0,0.0
EH-09A,EH-09,"Paris, France",structured,Extreme Heat,Mistral NeMo 12B,4.0,4.0,0.0
EH-09B,EH-09,"Accra, Ghana",unstructured,Extreme Heat,Claude 3 Haiku,4.0,4.0,0.0
EH-09B,EH-09,"Accra, Ghana",unstructured,Extreme Heat,Claude 3.7 Sonnet,4.0,4.0,0.0
EH-09B,EH-09,"Accra, Ghana",unstructured,Extreme Heat,DeepSeek V3.2,4.0,4.0,0.0
EH-09B,EH-09,"Accra, Ghana",unstructured,Extreme Heat,GPT-4o,4.0,4.0,0.0
EH-09B,EH-09,"Accra, Ghana",unstructured,Extreme Heat,Gemini 2.5 Flash,4.0,4.0,0.0
EH-09B,EH-09,"Accra, Ghana",unstructured,Extreme Heat,Llama 3.1 70B Instruct,4.0,4.0,0.0
EH-09B,EH-09,"Accra, Ghana",unstructured,Extreme Heat,Llama 3.1 8B Instruct,4.0,4.0,0.0
EH-09B,EH-09,"Accra, Ghana",unstructured,Extreme Heat,Mistral NeMo 12B,4.0,4.0,0.0
EH-10A,EH-10,"Barcelona, Spain",structured,Extreme Heat,Claude 3 Haiku,4.0,4.0,0.0
EH-10A,EH-10,"Barcelona, Spain",structured,Extreme Heat,Claude 3.7 Sonnet,4.0,4.0,0.0
EH-10A,EH-10,"Barcelona, Spain",structured,Extreme Heat,DeepSeek V3.2,4.0,4.0,0.0
EH-10A,EH-10,"Barcelona, Spain",structured,Extreme Heat,GPT-4o,4.0,4.0,0.0
EH-10A,EH-10,"Barcelona, Spain",structured,Extreme Heat,Gemini 2.5 Flash,4.0,4.0,0.0
EH-10A,EH-10,"Barcelona, Spain",structured,Extreme Heat,Llama 3.1 70B Instruct,4.0,4.0,0.0
EH-10A,EH-10,"Barcelona, Spain",structured,Extreme Heat,Llama 3.1 8B Instruct,4.0,4.0,0.0
EH-10A,EH-10,"Barcelona, Spain",structured,Extreme Heat,Mistral NeMo 12B,4.0,4.0,0.0
EH-10B,EH-10,"Ahmedabad, India",unstructured,Extreme Heat,Claude 3 Haiku,4.0,4.0,0.0
EH-10B,EH-10,"Ahmedabad, India",unstructured,Extreme Heat,Claude 3.7 Sonnet,4.0,4.0,0.0
EH-10B,EH-10,"Ahmedabad, India",unstructured,Extreme Heat,DeepSeek V3.2,4.0,4.0,0.0
EH-10B,EH-10,"Ahmedabad, India",unstructured,Extreme Heat,GPT-4o,4.0,4.0,0.0
EH-10B,EH-10,"Ahmedabad, India",unstructured,Extreme Heat,Gemini 2.5 Flash,4.0,4.0,0.0
EH-10B,EH-10,"Ahmedabad, India",unstructured,Extreme Heat,Llama 3.1 70B Instruct,4.0,4.0,0.0
EH-10B,EH-10,"Ahmedabad, India",unstructured,Extreme Heat,Llama 3.1 8B Instruct,4.0,4.0,0.0
EH-10B,EH-10,"Ahmedabad, India",unstructured,Extreme Heat,Mistral NeMo 12B,4.0,4.0,0.0
FF-01A,FF-01,"Denver, CO, USA",structured,Flash Flood,Claude 3 Haiku,4.0,4.0,0.0
FF-01A,FF-01,"Denver, CO, USA",structured,Flash Flood,Claude 3.7 Sonnet,4.0,4.0,0.0
FF-01A,FF-01,"Denver, CO, USA",structured,Flash Flood,DeepSeek V3.2,4.0,4.0,0.0
FF-01A,FF-01,"Denver, CO, USA",structured,Flash Flood,GPT-4o,4.0,4.0,0.0
FF-01A,FF-01,"Denver, CO, USA",structured,Flash Flood,Gemini 2.5 Flash,4.0,4.0,0.0
FF-01A,FF-01,"Denver, CO, USA",structured,Flash Flood,Llama 3.1 70B Instruct,4.0,4.0,0.0
FF-01A,FF-01,"Denver, CO, USA",structured,Flash Flood,Llama 3.1 8B Instruct,4.0,4.0,0.0
FF-01A,FF-01,"Denver, CO, USA",structured,Flash Flood,Mistral NeMo 12B,4.0,4.0,0.0
FF-01B,FF-01,"Chittagong, Bangladesh",unstructured,Flash Flood,Claude 3 Haiku,4.0,4.0,0.0
FF-01B,FF-01,"Chittagong, Bangladesh",unstructured,Flash Flood,Claude 3.7 Sonnet,4.0,4.0,0.0
FF-01B,FF-01,"Chittagong, Bangladesh",unstructured,Flash Flood,DeepSeek V3.2,4.0,4.0,0.0
FF-01B,FF-01,"Chittagong, Bangladesh",unstructured,Flash Flood,GPT-4o,4.0,4.0,0.0
FF-01B,FF-01,"Chittagong, Bangladesh",unstructured,Flash Flood,Gemini 2.5 Flash,4.0,4.0,0.0
FF-01B,FF-01,"Chittagong, Bangladesh",unstructured,Flash Flood,Llama 3.1 70B Instruct,4.0,4.0,0.0
FF-01B,FF-01,"Chittagong, Bangladesh",unstructured,Flash Flood,Llama 3.1 8B Instruct,4.0,4.0,0.0
FF-01B,FF-01,"Chittagong, Bangladesh",unstructured,Flash Flood,Mistral NeMo 12B,4.0,2.0,-2.0
FF-02A,FF-02,"Lyon, France",structured,Flash Flood,Claude 3 Haiku,4.0,4.0,0.0
FF-02A,FF-02,"Lyon, France",structured,Flash Flood,Claude 3.7 Sonnet,4.0,4.0,0.0
FF-02A,FF-02,"Lyon, France",structured,Flash Flood,DeepSeek V3.2,4.0,4.0,0.0
FF-02A,FF-02,"Lyon, France",structured,Flash Flood,GPT-4o,4.0,4.0,0.0
FF-02A,FF-02,"Lyon, France",structured,Flash Flood,Gemini 2.5 Flash,4.0,4.0,0.0
FF-02A,FF-02,"Lyon, France",structured,Flash Flood,Llama 3.1 70B Instruct,4.0,4.0,0.0
FF-02A,FF-02,"Lyon, France",structured,Flash Flood,Llama 3.1 8B Instruct,4.0,4.0,0.0
FF-02A,FF-02,"Lyon, France",structured,Flash Flood,Mistral NeMo 12B,4.0,4.0,0.0
FF-02B,FF-02,"Kampala, Uganda",unstructured,Flash Flood,Claude 3 Haiku,4.0,4.0,0.0
FF-02B,FF-02,"Kampala, Uganda",unstructured,Flash Flood,Claude 3.7 Sonnet,4.0,4.0,0.0
FF-02B,FF-02,"Kampala, Uganda",unstructured,Flash Flood,DeepSeek V3.2,4.0,4.0,0.0
FF-02B,FF-02,"Kampala, Uganda",unstructured,Flash Flood,GPT-4o,4.0,4.0,0.0
FF-02B,FF-02,"Kampala, Uganda",unstructured,Flash Flood,Gemini 2.5 Flash,4.0,4.0,0.0
FF-02B,FF-02,"Kampala, Uganda",unstructured,Flash Flood,Llama 3.1 70B Instruct,4.0,4.0,0.0
FF-02B,FF-02,"Kampala, Uganda",unstructured,Flash Flood,Llama 3.1 8B Instruct,4.0,2.0,-2.0
FF-02B,FF-02,"Kampala, Uganda",unstructured,Flash Flood,Mistral NeMo 12B,4.0,4.0,0.0
FF-03A,FF-03,"Portland, OR, USA",structured,Flash Flood,Claude 3 Haiku,4.0,4.0,0.0
FF-03A,FF-03,"Portland, OR, USA",structured,Flash Flood,Claude 3.7 Sonnet,4.0,4.0,0.0
FF-03A,FF-03,"Portland, OR, USA",structured,Flash Flood,DeepSeek V3.2,4.0,4.0,0.0
FF-03A,FF-03,"Portland, OR, USA",structured,Flash Flood,GPT-4o,4.0,4.0,0.0
FF-03A,FF-03,"Portland, OR, USA",structured,Flash Flood,Gemini 2.5 Flash,4.0,4.0,0.0
FF-03A,FF-03,"Portland, OR, USA",structured,Flash Flood,Llama 3.1 70B Instruct,4.0,4.0,0.0
FF-03A,FF-03,"Portland, OR, USA",structured,Flash Flood,Llama 3.1 8B Instruct,4.0,4.0,0.0
FF-03A,FF-03,"Portland, OR, USA",structured,Flash Flood,Mistral NeMo 12B,4.0,4.0,0.0
FF-03B,FF-03,"Kathmandu, Nepal",unstructured,Flash Flood,Claude 3 Haiku,4.0,4.0,0.0
FF-03B,FF-03,"Kathmandu, Nepal",unstructured,Flash Flood,Claude 3.7 Sonnet,4.0,4.0,0.0
FF-03B,FF-03,"Kathmandu, Nepal",unstructured,Flash Flood,DeepSeek V3.2,4.0,4.0,0.0
FF-03B,FF-03,"Kathmandu, Nepal",unstructured,Flash Flood,GPT-4o,4.0,4.0,0.0
FF-03B,FF-03,"Kathmandu, Nepal",unstructured,Flash Flood,Gemini 2.5 Flash,4.0,4.0,0.0
FF-03B,FF-03,"Kathmandu, Nepal",unstructured,Flash Flood,Llama 3.1 70B Instruct,4.0,4.0,0.0
FF-03B,FF-03,"Kathmandu, Nepal",unstructured,Flash Flood,Llama 3.1 8B Instruct,4.0,4.0,0.0
FF-03B,FF-03,"Kathmandu, Nepal",unstructured,Flash Flood,Mistral NeMo 12B,4.0,4.0,0.0
FF-04A,FF-04,"Brisbane, Australia",structured,Flash Flood,Claude 3 Haiku,4.0,4.0,0.0
FF-04A,FF-04,"Brisbane, Australia",structured,Flash Flood,Claude 3.7 Sonnet,4.0,4.0,0.0
FF-04A,FF-04,"Brisbane, Australia",structured,Flash Flood,DeepSeek V3.2,4.0,4.0,0.0
FF-04A,FF-04,"Brisbane, Australia",structured,Flash Flood,GPT-4o,4.0,4.0,0.0
FF-04A,FF-04,"Brisbane, Australia",structured,Flash Flood,Gemini 2.5 Flash,4.0,4.0,0.0
FF-04A,FF-04,"Brisbane, Australia",structured,Flash Flood,Llama 3.1 70B Instruct,4.0,4.0,0.0
FF-04A,FF-04,"Brisbane, Australia",structured,Flash Flood,Llama 3.1 8B Instruct,4.0,4.0,0.0
FF-04A,FF-04,"Brisbane, Australia",structured,Flash Flood,Mistral NeMo 12B,4.0,4.0,0.0
FF-04B,FF-04,"São Paulo periphery, Brazil",unstructured,Flash Flood,Claude 3 Haiku,4.0,4.0,0.0
FF-04B,FF-04,"São Paulo periphery, Brazil",unstructured,Flash Flood,Claude 3.7 Sonnet,4.0,4.0,0.0
FF-04B,FF-04,"São Paulo periphery, Brazil",unstructured,Flash Flood,DeepSeek V3.2,4.0,4.0,0.0
FF-04B,FF-04,"São Paulo periphery, Brazil",unstructured,Flash Flood,GPT-4o,4.0,4.0,0.0
FF-04B,FF-04,"São Paulo periphery, Brazil",unstructured,Flash Flood,Gemini 2.5 Flash,4.0,4.0,0.0
FF-04B,FF-04,"São Paulo periphery, Brazil",unstructured,Flash Flood,Llama 3.1 70B Instruct,4.0,4.0,0.0
FF-04B,FF-04,"São Paulo periphery, Brazil",unstructured,Flash Flood,Llama 3.1 8B Instruct,4.0,4.0,0.0
FF-04B,FF-04,"São Paulo periphery, Brazil",unstructured,Flash Flood,Mistral NeMo 12B,4.0,4.0,0.0
FF-05A,FF-05,"Madrid, Spain",structured,Flash Flood,Claude 3 Haiku,4.0,4.0,0.0
FF-05A,FF-05,"Madrid, Spain",structured,Flash Flood,Claude 3.7 Sonnet,4.0,4.0,0.0
FF-05A,FF-05,"Madrid, Spain",structured,Flash Flood,DeepSeek V3.2,4.0,4.0,0.0
FF-05A,FF-05,"Madrid, Spain",structured,Flash Flood,GPT-4o,4.0,4.0,0.0
FF-05A,FF-05,"Madrid, Spain",structured,Flash Flood,Gemini 2.5 Flash,4.0,4.0,0.0
FF-05A,FF-05,"Madrid, Spain",structured,Flash Flood,Llama 3.1 70B Instruct,4.0,4.0,0.0
FF-05A,FF-05,"Madrid, Spain",structured,Flash Flood,Llama 3.1 8B Instruct,4.0,4.0,0.0
FF-05A,FF-05,"Madrid, Spain",structured,Flash Flood,Mistral NeMo 12B,4.0,4.0,0.0
FF-05B,FF-05,"Lagos, Nigeria",unstructured,Flash Flood,Claude 3 Haiku,4.0,4.0,0.0
FF-05B,FF-05,"Lagos, Nigeria",unstructured,Flash Flood,Claude 3.7 Sonnet,4.0,4.0,0.0
FF-05B,FF-05,"Lagos, Nigeria",unstructured,Flash Flood,DeepSeek V3.2,4.0,4.0,0.0
FF-05B,FF-05,"Lagos, Nigeria",unstructured,Flash Flood,GPT-4o,4.0,4.0,0.0
FF-05B,FF-05,"Lagos, Nigeria",unstructured,Flash Flood,Gemini 2.5 Flash,4.0,4.0,0.0
FF-05B,FF-05,"Lagos, Nigeria",unstructured,Flash Flood,Llama 3.1 70B Instruct,4.0,4.0,0.0
