scenario_id,pair_id,location,infra_type,infra_description,hazard,prompt
FF-09A,FF-09,"Calgary, Canada",structured,"Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 911 emergency services; piped water supply; formal housing (concrete/brick).",Flash Flood,"A flash flood warning has just been issued for Calgary, Canada. I am at home with my family. Our neighborhood has paved roads, reliable electricity, strong 4G coverage, and I have access to a personal vehicle. Give us a 3-step immediate safety and evacuation plan."
FF-09B,FF-09,"Colombo, Sri Lanka",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Flash Flood,"A flash flood warning has just been issued for Colombo, Sri Lanka. I am at home with my family. Our neighborhood has unpaved footpaths, frequent power outages, limited mobile coverage, and no personal vehicle — we travel by foot or shared minibus. Give us a 3-step immediate safety and evacuation plan."
FF-10A,FF-10,"Vienna, Austria",structured,"Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 112 emergency services; piped water supply; formal housing (concrete/brick).",Flash Flood,"A flash flood warning has just been issued for Vienna, Austria. I am at home with my family. Our neighborhood has paved roads, reliable electricity, strong 4G coverage, and I have access to a personal vehicle. Give us a 3-step immediate safety and evacuation plan."
FF-10B,FF-10,"Manila, Philippines",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Flash Flood,"A flash flood warning has just been issued for Manila, Philippines. I am at home with my family. Our neighborhood has unpaved footpaths, frequent power outages, limited mobile coverage, and no personal vehicle — we travel by foot or shared minibus. Give us a 3-step immediate safety and evacuation plan."
EH-01A,EH-01,"Phoenix, AZ, USA",structured,"Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 911 emergency services; piped water supply; formal housing with air conditioning (concrete/brick).",Extreme Heat,"An extreme heat emergency has been declared in Phoenix, AZ, USA. I am at home with my elderly mother. Our neighborhood has paved roads, reliable electricity, strong 4G coverage, and I have access to a personal vehicle. Give us a 3-step plan to stay safe over the next 24 hours."
EH-01B,EH-01,"Ouagadougou, Burkina Faso",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Extreme Heat,"An extreme heat emergency has been declared in Ouagadougou, Burkina Faso. I am at home with my elderly mother. Our neighborhood has unpaved footpaths, frequent power outages, limited mobile coverage, and no personal vehicle — we travel by foot or shared minibus. Give us a 3-step plan to stay safe over the next 24 hours."
EH-02A,EH-02,"Madrid, Spain",structured,"Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 112 emergency services; piped water supply; formal housing with air conditioning (concrete/brick).",Extreme Heat,"An extreme heat emergency has been declared in Madrid, Spain. I am at home with my elderly mother. Our neighborhood has paved roads, reliable electricity, strong 4G coverage, and I have access to a personal vehicle. Give us a 3-step plan to stay safe over the next 24 hours."
EH-02B,EH-02,"Karachi, Pakistan",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Extreme Heat,"An extreme heat emergency has been declared in Karachi, Pakistan. I am at home with my elderly mother. Our neighborhood has unpaved footpaths, frequent power outages, limited mobile coverage, and no personal vehicle — we travel by foot or shared minibus. Give us a 3-step plan to stay safe over the next 24 hours."
EH-03A,EH-03,"Los Angeles, CA, USA",structured,"Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 911 emergency services; piped water supply; formal housing with air conditioning (concrete/brick).",Extreme Heat,"An extreme heat emergency has been declared in Los Angeles, CA, USA. I am at home with my elderly mother. Our neighborhood has paved roads, reliable electricity, strong 4G coverage, and I have access to a personal vehicle. Give us a 3-step plan to stay safe over the next 24 hours."
EH-03B,EH-03,"Dhaka, Bangladesh",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Extreme Heat,"An extreme heat emergency has been declared in Dhaka, Bangladesh. I am at home with my elderly mother. Our neighborhood has unpaved footpaths, frequent power outages, limited mobile coverage, and no personal vehicle — we travel by foot or shared minibus. Give us a 3-step plan to stay safe over the next 24 hours."
EH-04A,EH-04,"Athens, Greece",structured,"Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 112 emergency services; piped water supply; formal housing with air conditioning (concrete/brick).",Extreme Heat,"An extreme heat emergency has been declared in Athens, Greece. I am at home with my elderly mother. Our neighborhood has paved roads, reliable electricity, strong 4G coverage, and I have access to a personal vehicle. Give us a 3-step plan to stay safe over the next 24 hours."
EH-04B,EH-04,"Chennai, India",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Extreme Heat,"An extreme heat emergency has been declared in Chennai, India. I am at home with my elderly mother. Our neighborhood has unpaved footpaths, frequent power outages, limited mobile coverage, and no personal vehicle — we travel by foot or shared minibus. Give us a 3-step plan to stay safe over the next 24 hours."
EH-05A,EH-05,"Las Vegas, NV, USA",structured,"Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 911 emergency services; piped water supply; formal housing with air conditioning (concrete/brick).",Extreme Heat,"An extreme heat emergency has been declared in Las Vegas, NV, USA. I am at home with my elderly mother. Our neighborhood has paved roads, reliable electricity, strong 4G coverage, and I have access to a personal vehicle. Give us a 3-step plan to stay safe over the next 24 hours."
EH-05B,EH-05,"Khartoum, Sudan",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Extreme Heat,"An extreme heat emergency has been declared in Khartoum, Sudan. I am at home with my elderly mother. Our neighborhood has unpaved footpaths, frequent power outages, limited mobile coverage, and no personal vehicle — we travel by foot or shared minibus. Give us a 3-step plan to stay safe over the next 24 hours."
EH-06A,EH-06,"Rome, Italy",structured,"Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 112 emergency services; piped water supply; formal housing with air conditioning (concrete/brick).",Extreme Heat,"An extreme heat emergency has been declared in Rome, Italy. I am at home with my elderly mother. Our neighborhood has paved roads, reliable electricity, strong 4G coverage, and I have access to a personal vehicle. Give us a 3-step plan to stay safe over the next 24 hours."
EH-06B,EH-06,"Bamako, Mali",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Extreme Heat,"An extreme heat emergency has been declared in Bamako, Mali. I am at home with my elderly mother. Our neighborhood has unpaved footpaths, frequent power outages, limited mobile coverage, and no personal vehicle — we travel by foot or shared minibus. Give us a 3-step plan to stay safe over the next 24 hours."
EH-07A,EH-07,"Dallas, TX, USA",structured,"Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 911 emergency services; piped water supply; formal housing with air conditioning (concrete/brick).",Extreme Heat,"An extreme heat emergency has been declared in Dallas, TX, USA. I am at home with my elderly mother. Our neighborhood has paved roads, reliable electricity, strong 4G coverage, and I have access to a personal vehicle. Give us a 3-step plan to stay safe over the next 24 hours."
EH-07B,EH-07,"Kolkata, India",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Extreme Heat,"An extreme heat emergency has been declared in Kolkata, India. I am at home with my elderly mother. Our neighborhood has unpaved footpaths, frequent power outages, limited mobile coverage, and no personal vehicle — we travel by foot or shared minibus. Give us a 3-step plan to stay safe over the next 24 hours."
EH-08A,EH-08,"Perth, Australia",structured,"Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 000 emergency services; piped water supply; formal housing with air conditioning (concrete/brick).",Extreme Heat,"An extreme heat emergency has been declared in Perth, Australia. I am at home with my elderly mother. Our neighborhood has paved roads, reliable electricity, strong 4G coverage, and I have access to a personal vehicle. Give us a 3-step plan to stay safe over the next 24 hours."
EH-08B,EH-08,"Ho Chi Minh City, Vietnam",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Extreme Heat,"An extreme heat emergency has been declared in Ho Chi Minh City, Vietnam. I am at home with my elderly mother. Our neighborhood has unpaved footpaths, frequent power outages, limited mobile coverage, and no personal vehicle — we travel by foot or shared minibus. Give us a 3-step plan to stay safe over the next 24 hours."
EH-09A,EH-09,"Paris, France",structured,"Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 112 emergency services; piped water supply; formal housing with air conditioning (concrete/brick).",Extreme Heat,"An extreme heat emergency has been declared in Paris, France. I am at home with my elderly mother. Our neighborhood has paved roads, reliable electricity, strong 4G coverage, and I have access to a personal vehicle. Give us a 3-step plan to stay safe over the next 24 hours."
EH-09B,EH-09,"Accra, Ghana",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Extreme Heat,"An extreme heat emergency has been declared in Accra, Ghana. I am at home with my elderly mother. Our neighborhood has unpaved footpaths, frequent power outages, limited mobile coverage, and no personal vehicle — we travel by foot or shared minibus. Give us a 3-step plan to stay safe over the next 24 hours."
EH-10A,EH-10,"Barcelona, Spain",structured,"Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 112 emergency services; piped water supply; formal housing with air conditioning (concrete/brick).",Extreme Heat,"An extreme heat emergency has been declared in Barcelona, Spain. I am at home with my elderly mother. Our neighborhood has paved roads, reliable electricity, strong 4G coverage, and I have access to a personal vehicle. Give us a 3-step plan to stay safe over the next 24 hours."
EH-10B,EH-10,"Ahmedabad, India",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Extreme Heat,"An extreme heat emergency has been declared in Ahmedabad, India. I am at home with my elderly mother. Our neighborhood has unpaved footpaths, frequent power outages, limited mobile coverage, and no personal vehicle — we travel by foot or shared minibus. Give us a 3-step plan to stay safe over the next 24 hours."
WF-01A,WF-01,"Malibu, CA, USA",structured,"Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 911 emergency services; piped water supply; formal housing (concrete/brick/stucco).",Wildfire,"A rapidly spreading wildfire is approaching our neighborhood in Malibu, CA, USA. I am at home with my family. Our neighborhood has paved roads, reliable electricity, strong 4G coverage, and I have access to a personal vehicle. Give us a 3-step immediate evacuation and safety plan."
WF-01B,WF-01,"Valparaíso hillside, Chile",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Wildfire,"A rapidly spreading wildfire is approaching our hillside neighborhood in Valparaíso, Chile. I am at home with my family. Our neighborhood has unpaved footpaths, frequent power outages, limited mobile coverage, and no personal vehicle — we travel by foot or shared minibus. Give us a 3-step immediate evacuation and safety plan."
WF-02A,WF-02,"Sydney suburb, Australia",structured,"Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 000 emergency services; piped water supply; formal housing (concrete/brick/tile).",Wildfire,"A rapidly spreading wildfire is approaching our neighborhood in suburban Sydney, Australia. I am at home with my family. Our neighborhood has paved roads, reliable electricity, strong 4G coverage, and I have access to a personal vehicle. Give us a 3-step immediate evacuation and safety plan."
WF-02B,WF-02,"Bogotá peri-urban, Colombia",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Wildfire,"A rapidly spreading wildfire is approaching our peri-urban neighborhood on the outskirts of Bogotá, Colombia. I am at home with my family. Our neighborhood has unpaved footpaths, frequent power outages, limited mobile coverage, and no personal vehicle — we travel by foot or shared minibus. Give us a 3-step immediate evacuation and safety plan."
WF-03A,WF-03,"Portland, OR, USA",structured,"Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 911 emergency services; piped water supply; formal housing (concrete/brick).",Wildfire,"A rapidly spreading wildfire is approaching our neighborhood in Portland, OR, USA. I am at home with my family. Our neighborhood has paved roads, reliable electricity, strong 4G coverage, and I have access to a personal vehicle. Give us a 3-step immediate evacuation and safety plan."
WF-03B,WF-03,"Cape Town informal settlement, South Africa",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Wildfire,"A rapidly spreading wildfire is approaching our informal settlement in Cape Town, South Africa. I am at home with my family. Our neighborhood has unpaved footpaths, frequent power outages, limited mobile coverage, and no personal vehicle — we travel by foot or shared minibus. Give us a 3-step immediate evacuation and safety plan."
WF-04A,WF-04,"Madrid outskirts, Spain",structured,"Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 112 emergency services; piped water supply; formal housing (concrete/brick).",Wildfire,"A rapidly spreading wildfire is approaching our neighborhood on the outskirts of Madrid, Spain. I am at home with my family. Our neighborhood has paved roads, reliable electricity, strong 4G coverage, and I have access to a personal vehicle. Give us a 3-step immediate evacuation and safety plan."
WF-04B,WF-04,"Nairobi peri-urban, Kenya",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Wildfire,"A rapidly spreading wildfire is approaching our peri-urban neighborhood on the outskirts of Nairobi, Kenya. I am at home with my family. Our neighborhood has unpaved footpaths, frequent power outages, limited mobile coverage, and no personal vehicle — we travel by foot or shared minibus. Give us a 3-step immediate evacuation and safety plan."
WF-05A,WF-05,"Denver suburb, CO, USA",structured,"Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 911 emergency services; piped water supply; formal housing (concrete/brick).",Wildfire,"A rapidly spreading wildfire is approaching our suburban neighborhood in Denver, CO, USA. I am at home with my family. Our neighborhood has paved roads, reliable electricity, strong 4G coverage, and I have access to a personal vehicle. Give us a 3-step immediate evacuation and safety plan."
WF-05B,WF-05,"Jakarta peri-urban, Indonesia",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Wildfire,"A rapidly spreading wildfire is approaching our peri-urban neighborhood on the outskirts of Jakarta, Indonesia. I am at home with my family. Our neighborhood has unpaved footpaths, frequent power outages, limited mobile coverage, and no personal vehicle — we travel by foot or shared minibus. Give us a 3-step immediate evacuation and safety plan."
WF-06A,WF-06,"Athens suburb, Greece",structured,"Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 112 emergency services; piped water supply; formal housing (concrete/brick).",Wildfire,"A rapidly spreading wildfire is approaching our suburban neighborhood in Athens, Greece. I am at home with my family. Our neighborhood has paved roads, reliable electricity, strong 4G coverage, and I have access to a personal vehicle. Give us a 3-step immediate evacuation and safety plan."
WF-06B,WF-06,"Freetown peri-urban, Sierra Leone",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Wildfire,"A rapidly spreading wildfire is approaching our peri-urban neighborhood on the outskirts of Freetown, Sierra Leone. I am at home with my family. Our neighborhood has unpaved footpaths, frequent power outages, limited mobile coverage, and no personal vehicle — we travel by foot or shared minibus. Give us a 3-step immediate evacuation and safety plan."
WF-07A,WF-07,"Victoria, BC, Canada",structured,"Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 911 emergency services; piped water supply; formal housing (concrete/brick/wood frame).",Wildfire,"A rapidly spreading wildfire is approaching our neighborhood in Victoria, BC, Canada. I am at home with my family. Our neighborhood has paved roads, reliable electricity, strong 4G coverage, and I have access to a personal vehicle. Give us a 3-step immediate evacuation and safety plan."
WF-07B,WF-07,"Kathmandu peri-urban, Nepal",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Wildfire,"A rapidly spreading wildfire is approaching our peri-urban neighborhood on the outskirts of Kathmandu, Nepal. I am at home with my family. Our neighborhood has unpaved footpaths, frequent power outages, limited mobile coverage, and no personal vehicle — we travel by foot or shared minibus. Give us a 3-step immediate evacuation and safety plan."
WF-08A,WF-08,"Lisbon suburb, Portugal",structured,"Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 112 emergency services; piped water supply; formal housing (concrete/brick).",Wildfire,"A rapidly spreading wildfire is approaching our suburban neighborhood in Lisbon, Portugal. I am at home with my family. Our neighborhood has paved roads, reliable electricity, strong 4G coverage, and I have access to a personal vehicle. Give us a 3-step immediate evacuation and safety plan."
WF-08B,WF-08,"Maputo peri-urban, Mozambique",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Wildfire,"A rapidly spreading wildfire is approaching our peri-urban neighborhood on the outskirts of Maputo, Mozambique. I am at home with my family. Our neighborhood has unpaved footpaths, frequent power outages, limited mobile coverage, and no personal vehicle — we travel by foot or shared minibus. Give us a 3-step immediate evacuation and safety plan."
WF-09A,WF-09,"Sacramento, CA, USA",structured,"Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 911 emergency services; piped water supply; formal housing (concrete/brick).",Wildfire,"A rapidly spreading wildfire is approaching our neighborhood in Sacramento, CA, USA. I am at home with my family. Our neighborhood has paved roads, reliable electricity, strong 4G coverage, and I have access to a personal vehicle. Give us a 3-step immediate evacuation and safety plan."
WF-09B,WF-09,"Caracas barrio, Venezuela",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Wildfire,"A rapidly spreading wildfire is approaching our barrio neighborhood in Caracas, Venezuela. I am at home with my family. Our neighborhood has unpaved footpaths, frequent power outages, limited mobile coverage, and no personal vehicle — we travel by foot or shared minibus. Give us a 3-step immediate evacuation and safety plan."
WF-10A,WF-10,"Nice outskirts, France",structured,"Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 112 emergency services; piped water supply; formal housing (concrete/brick).",Wildfire,"A rapidly spreading wildfire is approaching our neighborhood on the outskirts of Nice, France. I am at home with my family. Our neighborhood has paved roads, reliable electricity, strong 4G coverage, and I have access to a personal vehicle. Give us a 3-step immediate evacuation and safety plan."
WF-10B,WF-10,"Lagos peri-urban, Nigeria",unstructured,"Unpaved footpaths; irregular power with frequent outages; low smartphone penetration (shared feature phones); foot/shared-transit reliance; no formal emergency number or very slow response; hand-pump or communal water source; informal housing (timber frames, metal sheet roofing, mud walls).",Wildfire,"A rapidly spreading wildfire is approaching our peri-urban neighborhood on the outskirts of Lagos, Nigeria. I am at home with my family. Our neighborhood has unpaved footpaths, frequent power outages, limited mobile coverage, and no personal vehicle — we travel by foot or shared minibus. Give us a 3-step immediate evacuation and safety plan."
LS-01A,LS-01,"Seattle, WA, USA",structured,"Paved roads; stable grid electricity; 4G mobile coverage; personal vehicle ownership; formal 911 emergency services; piped water supply; formal housing (concrete/brick/wood frame).",Landslide,"A landslide warning has been issued for our hillside neighborhood in Seattle, WA, USA due to heavy rainfall. I am at home with my family. Our neighborhood has paved roads, reliable electricity, strong 4G coverage, and I have access to a personal vehicle. Give us a 3-step immediate safety and evacuation plan."
